 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  30.12.    Time:  11:55: 0
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        3  0.1000000E+01  0.30000E+00    2       12    -4    -5     T
        5  0.2000000E+01  0.50000E+00    2       16    -4    -5     T
        7  0.3000000E+01  0.50000E+00    2       20    -4    -5     T
        9  0.4000000E+01  0.50000E+00    2       24    -4    -5     T
       11  0.5000000E+01  0.50000E+00    2       28    -4    -5     T
       13  0.6000000E+01  0.50000E+00    2       32    -4    -5     T
       15  0.7000000E+01  0.50000E+00    2       36    -4    -5     T
       17  0.8000000E+01  0.50000E+00    2       40    -4    -5     T
       19  0.9000000E+01  0.50000E+00    2       44    -4    -5     T
       21  0.1000000E+02  0.50000E+00    2       48    -4    -5     T
       23  0.1100000E+02  0.50000E+00    2       52    -4    -5     T
       25  0.1200000E+02  0.50000E+00    2       56    -4    -5     T
       27  0.1300000E+02  0.50000E+00    2       60    -4    -5     T
       29  0.1400000E+02  0.50000E+00    2       64    -4    -5     T
       31  0.1500000E+02  0.50000E+00    2       68    -4    -5     T
       33  0.1600000E+02  0.50000E+00    2       72    -4    -5     T
       35  0.1700000E+02  0.50000E+00    2       76    -4    -5     T
       37  0.1800000E+02  0.50000E+00    2       80    -4    -5     T
       39  0.1900000E+02  0.50000E+00    2       84    -4    -5     T
       41  0.2000000E+02  0.50000E+00    2       88    -4    -5     T
       43  0.2100000E+02  0.50000E+00    2       92    -4    -5     T
       45  0.2200000E+02  0.50000E+00    2       96    -4    -5     T
       47  0.2300000E+02  0.50000E+00    2      100    -4    -5     T
       49  0.2400000E+02  0.50000E+00    2      104    -4    -5     T
       51  0.2500000E+02  0.50000E+00    2      108    -4    -5     T
       53  0.2600000E+02  0.50000E+00    2      112    -4    -5     T
       55  0.2700000E+02  0.50000E+00    2      116    -4    -5     T
       57  0.2800000E+02  0.50000E+00    2      120    -4    -5     T
       59  0.2900000E+02  0.50000E+00    2      124    -4    -5     T
       61  0.3000000E+02  0.50000E+00    2      128    -4    -5     T
       63  0.3100000E+02  0.50000E+00    2      132    -4    -5     T
       65  0.3200000E+02  0.50000E+00    2      136    -4    -5     T
       67  0.3300000E+02  0.50000E+00    2      140    -4    -5     T
       69  0.3400000E+02  0.50000E+00    2      144    -4    -5     T
       71  0.3500000E+02  0.50000E+00    2      148    -4    -5     T
       73  0.3600000E+02  0.50000E+00    2      152    -4    -5     T
       75  0.3700000E+02  0.50000E+00    2      156    -4    -5     T
       77  0.3800000E+02  0.50000E+00    2      160    -4    -5     T
       79  0.3900000E+02  0.50000E+00    2      164    -4    -5     T
       81  0.4000000E+02  0.50000E+00    2      168    -4    -5     T
       83  0.4100000E+02  0.50000E+00    2      172    -4    -5     T
       85  0.4200000E+02  0.50000E+00    2      176    -4    -5     T
       87  0.4300000E+02  0.50000E+00    2      180    -4    -5     T
       89  0.4400000E+02  0.50000E+00    2      184    -4    -5     T
       91  0.4500000E+02  0.50000E+00    2      188    -4    -5     T
       93  0.4600000E+02  0.50000E+00    2      192    -4    -5     T
       95  0.4700000E+02  0.50000E+00    2      196    -4    -5     T
       97  0.4800000E+02  0.50000E+00    2      200    -4    -5     T
       99  0.4900000E+02  0.50000E+00    2      204    -4    -5     T
      101  0.5000000E+02  0.50000E+00    2      208    -4    -5     T
      103  0.5100000E+02  0.50000E+00    2      212    -4    -5     T
      105  0.5200000E+02  0.50000E+00    2      217    -4    -5     T
      107  0.5300000E+02  0.50000E+00    2      222    -4    -5     T
      109  0.5400000E+02  0.50000E+00    2      227    -4    -5     T
      111  0.5500000E+02  0.50000E+00    2      232    -4    -5     T
      113  0.5600000E+02  0.50000E+00    2      236    -4    -5     T
      115  0.5700000E+02  0.50000E+00    2      241    -4    -5     T
      117  0.5800000E+02  0.50000E+00    3      248    -4    -5     T
      119  0.5900000E+02  0.50000E+00    3      255    -4    -5     T
      121  0.6000000E+02  0.50000E+00    3      262    -4    -5     T
      123  0.6100000E+02  0.50000E+00    3      267    -4    -5     T
      125  0.6200000E+02  0.50000E+00    4      277    -4    -5     T
      127  0.6300000E+02  0.50000E+00    2      283    -4    -5     T
      129  0.6400000E+02  0.50000E+00    4      293    -4    -5     T
      131  0.6500000E+02  0.50000E+00    3      300    -4    -5     T
      133  0.6600000E+02  0.50000E+00    4      311    -4    -5     T
      138  0.6700000E+02  0.11111E+00    3      340     4    -5     T
      148  0.6800000E+02  0.93006E-01    2      387     4    -5     T
      156  0.6900000E+02  0.21536E+00    2      413     4    -5     T
      159  0.7000000E+02  0.37500E+00    2      419     4    -5     T
      161  0.7100000E+02  0.50000E+00    2      423     4    -5     T
      163  0.7200000E+02  0.50000E+00    2      427     4    -5     T
      165  0.7300000E+02  0.50000E+00    2      431     4    -5     T
      167  0.7400000E+02  0.50000E+00    4      437     4    -5     T
      171  0.7500000E+02  0.16667E+00    2      457     4    -5     T
      174  0.7600000E+02  0.37500E+00    2      463     4    -5     T
      178  0.7700000E+02  0.16667E+00    2      481     4    -5     T
      181  0.7800000E+02  0.37500E+00    2      487     4    -5     T
      183  0.7900000E+02  0.50000E+00    7      496     4    -5     T
      186  0.8000000E+02  0.33333E+00    2      504     4    -5     T
      188  0.8100000E+02  0.50000E+00    2      510     4    -5     T
      190  0.8200000E+02  0.50000E+00    2      514     4    -5     T
      192  0.8300000E+02  0.50000E+00    2      518     4    -5     T
      194  0.8400000E+02  0.50000E+00    2      522     4    -5     T
      196  0.8500000E+02  0.50000E+00    2      526     4    -5     T
      198  0.8600000E+02  0.50000E+00    2      530     4    -5     T
      200  0.8700000E+02  0.50000E+00    2      534     4    -5     T
      202  0.8800000E+02  0.50000E+00    2      538     4    -5     T
      204  0.8900000E+02  0.50000E+00    2      542     4    -5     T
      206  0.9000000E+02  0.50000E+00    2      546     4    -5     T
      234  0.9100000E+02  0.66287E-01    3      687    -4    -5     T
      241  0.9200000E+02  0.19442E+00    2      705    -4    -5     T
      244  0.9300000E+02  0.33333E+00    2      712    -4    -5     T
      246  0.9400000E+02  0.50000E+00    3      719    -4    -5     T
      248  0.9500000E+02  0.50000E+00    3      724    -4    -5     T
      250  0.9600000E+02  0.50000E+00    2      728    -4    -5     T
